raw_date_text,original_date_string,start_date,end_date,scheduled
January 30-31 Meeting - 2018,January 30-31 2018,2018-01-30,2018-01-31,True
March 20-21 Meeting - 2018,March 20-21 2018,2018-03-20,2018-03-21,True
May 1-2 Meeting - 2018,May 1-2 2018,2018-05-01,2018-05-02,True
June 12-13 Meeting - 2018,June 12-13 2018,2018-06-12,2018-06-13,True
Jul/Aug 31-1 Meeting - 2018,Jul/Aug 31-1 2018,2018-07-31,2018-08-01,True
September 25-26 Meeting - 2018,September 25-26 2018,2018-09-25,2018-09-26,True
November 7-8 Meeting - 2018,November 7-8 2018,2018-11-07,2018-11-08,True
December 18-19 Meeting - 2018,December 18-19 2018,2018-12-18,2018-12-19,True
January 29-30 Meeting - 2019,January 29-30 2019,2019-01-29,2019-01-30,True
March 19-20 Meeting - 2019,March 19-20 2019,2019-03-19,2019-03-20,True
April/May 30-1 Meeting - 2019,April/May 30-1 2019,2019-04-30,2019-05-01,True
June 18-19 Meeting - 2019,June 18-19 2019,2019-06-18,2019-06-19,True
July 30-31 Meeting - 2019,July 30-31 2019,2019-07-30,2019-07-31,True
September 17-18 Meeting - 2019,September 17-18 2019,2019-09-17,2019-09-18,True
October 29-30 Meeting - 2019,October 29-30 2019,2019-10-29,2019-10-30,True
December 10-11 Meeting - 2019,December 10-11 2019,2019-12-10,2019-12-11,True
2025 FOMC Meetings,28 January 2025 - 29 January 2025,2025-01-28,2025-01-29,True
2025 FOMC Meetings,18 March 2025 - 19 March 2025,2025-03-18,2025-03-19,True
2025 FOMC Meetings,6 May 2025 - 7 May 2025,2025-05-06,2025-05-07,True
2025 FOMC Meetings,17 June 2025 - 18 June 2025,2025-06-17,2025-06-18,True
2025 FOMC Meetings,29 July 2025 - 30 July 2025,2025-07-29,2025-07-30,True
2025 FOMC Meetings,16 September 2025 - 17 September 2025,2025-09-16,2025-09-17,True
2025 FOMC Meetings,28 October 2025 - 29 October 2025,2025-10-28,2025-10-29,True
2025 FOMC Meetings,9 December 2025 - 10 December 2025,2025-12-09,2025-12-10,True
2024 FOMC Meetings,30 January 2024 - 31 January 2024,2024-01-30,2024-01-31,True
2024 FOMC Meetings,19 March 2024 - 20 March 2024,2024-03-19,2024-03-20,True
2024 FOMC Meetings,30 Apr 2024 - 1 May 2024,2024-04-30,2024-05-01,True
2024 FOMC Meetings,11 June 2024 - 12 June 2024,2024-06-11,2024-06-12,True
2024 FOMC Meetings,30 July 2024 - 31 July 2024,2024-07-30,2024-07-31,True
2024 FOMC Meetings,17 September 2024 - 18 September 2024,2024-09-17,2024-09-18,True
2024 FOMC Meetings,6 November 2024 - 7 November 2024,2024-11-06,2024-11-07,True
2024 FOMC Meetings,17 December 2024 - 18 December 2024,2024-12-17,2024-12-18,True
2023 FOMC Meetings,31 Jan 2023 - 1 Feb 2023,2023-01-31,2023-02-01,True
2023 FOMC Meetings,21 March 2023 - 22 March 2023,2023-03-21,2023-03-22,True
2023 FOMC Meetings,2 May 2023 - 3 May 2023,2023-05-02,2023-05-03,True
2023 FOMC Meetings,13 June 2023 - 14 June 2023,2023-06-13,2023-06-14,True
2023 FOMC Meetings,25 July 2023 - 26 July 2023,2023-07-25,2023-07-26,True
2023 FOMC Meetings,19 September 2023 - 20 September 2023,2023-09-19,2023-09-20,True
2023 FOMC Meetings,31 Oct 2023 - 1 Nov 2023,2023-10-31,2023-11-01,True
2023 FOMC Meetings,12 December 2023 - 13 December 2023,2023-12-12,2023-12-13,True
2022 FOMC Meetings,25 January 2022 - 26 January 2022,2022-01-25,2022-01-26,True
2022 FOMC Meetings,15 March 2022 - 16 March 2022,2022-03-15,2022-03-16,True
2022 FOMC Meetings,3 May 2022 - 4 May 2022,2022-05-03,2022-05-04,True
2022 FOMC Meetings,14 June 2022 - 15 June 2022,2022-06-14,2022-06-15,True
2022 FOMC Meetings,26 July 2022 - 27 July 2022,2022-07-26,2022-07-27,True
2022 FOMC Meetings,20 September 2022 - 21 September 2022,2022-09-20,2022-09-21,True
2022 FOMC Meetings,1 November 2022 - 2 November 2022,2022-11-01,2022-11-02,True
2022 FOMC Meetings,13 December 2022 - 14 December 2022,2022-12-13,2022-12-14,True
2021 FOMC Meetings,26 January 2021 - 27 January 2021,2021-01-26,2021-01-27,True
2021 FOMC Meetings,16 March 2021 - 17 March 2021,2021-03-16,2021-03-17,True
2021 FOMC Meetings,27 April 2021 - 28 April 2021,2021-04-27,2021-04-28,True
2021 FOMC Meetings,15 June 2021 - 16 June 2021,2021-06-15,2021-06-16,True
2021 FOMC Meetings,27 July 2021 - 28 July 2021,2021-07-27,2021-07-28,True
2021 FOMC Meetings,21 September 2021 - 22 September 2021,2021-09-21,2021-09-22,True
2021 FOMC Meetings,2 November 2021 - 3 November 2021,2021-11-02,2021-11-03,True
2021 FOMC Meetings,14 December 2021 - 15 December 2021,2021-12-14,2021-12-15,True
2020 FOMC Meetings,28 January 2020 - 29 January 2020,2020-01-28,2020-01-29,True
2020 FOMC Meetings,3 March 2020 - 3 March 2020,2020-03-03,2020-03-03,False
2020 FOMC Meetings,15 March 2020 - 15 March 2020,2020-03-15,2020-03-15,False
2020 FOMC Meetings,28 April 2020 - 29 April 2020,2020-04-28,2020-04-29,True
2020 FOMC Meetings,9 June 2020 - 10 June 2020,2020-06-09,2020-06-10,True
2020 FOMC Meetings,28 July 2020 - 29 July 2020,2020-07-28,2020-07-29,True
2020 FOMC Meetings,15 September 2020 - 16 September 2020,2020-09-15,2020-09-16,True
2020 FOMC Meetings,4 November 2020 - 5 November 2020,2020-11-04,2020-11-05,True
2020 FOMC Meetings,15 December 2020 - 16 December 2020,2020-12-15,2020-12-16,True
2026 FOMC Meetings,27 January 2026 - 28 January 2026,2026-01-27,2026-01-28,True
2026 FOMC Meetings,17 March 2026 - 18 March 2026,2026-03-17,2026-03-18,True
2026 FOMC Meetings,28 April 2026 - 29 April 2026,2026-04-28,2026-04-29,True
2026 FOMC Meetings,16 June 2026 - 17 June 2026,2026-06-16,2026-06-17,True
2026 FOMC Meetings,28 July 2026 - 29 July 2026,2026-07-28,2026-07-29,True
2026 FOMC Meetings,15 September 2026 - 16 September 2026,2026-09-15,2026-09-16,True
2026 FOMC Meetings,27 October 2026 - 28 October 2026,2026-10-27,2026-10-28,True
2026 FOMC Meetings,8 December 2026 - 9 December 2026,2026-12-08,2026-12-09,True
